"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"183","Britain Covey","WR","LAR","0","2.3","1.1","-","-","BYE","-","-","-","-","-","0","0","-","-","-","-","-","0.7","3.4"
"184","Alex Bachman","WR","LV","-","-","-","0","0","3.1","0","0","-","BYE","-","-","-","-","-","-","-","-","0.6","3.1"
"185","Allen Robinson II","WR","FA","-","-","0","-","-","0","-","0","0.2","0","0.7","0","0","0","0","0","2.1","-","0.3","3"
"186","David Bell","WR","CLE","-","2.7","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","2.7","2.7"
"186","Deven Thompkins","WR","FA","-","-","-","-","-","-","-","-","-0.2","0","-","1.3","0","0.7","0","0.9","-","-","0.4","2.7"
"188","Anthony Gould","WR","IND","0","0","0","-","-","-","-","-","-","-","-","-","0","BYE","2.3","0","0","0","0.3","2.3"
"189","Malachi Corley","WR","NYJ","0","0.4","-","-","-","-","-","0","-0.2","0.2","1","BYE","0.8","-","-","-","-","-","0.3","2.2"
"189","Jamari Thrash","WR","CLE","-","-","-","-","-","-","0","-","0","BYE","1.1","0","1.1","-","0","0","0","0","0.2","2.2"
"189","Ronnie Bell","WR","DET","0","0","1.2","-","0","-","1","0","-","0","-","0","-","-","-","-","-","-","0.3","2.2"
"192","Austin Trammell","WR","JAC","-","-","-","-","-","-","-","-","2","-","-","BYE","-","-","-","-","-","-","2","2"
"193","Mason Kinsey","WR","TEN","-","-","-","-","BYE","-","-","0","-","-","-","-","-","0","1.1","0.6","0","0","0.3","1.7"
"193","Chris Blair","WR","ATL","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","1.7","0","0","0.6","1.7"
"195","Anthony Miller","WR","BAL","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","0","1.6","-","0.8","1.6"
"196","Trenton Irwin","WR","JAC","0.6","0.5","-","-","-","0","-","0.4","0","0","0","BYE","-","-","-","-","-","-","0.2","1.5"
"197","Casey Washington","WR","ATL","-","-","-","-","-","-","1.4","-","-","-","0","BYE","-","-","-","-","-","-","0.7","1.4"
"198","Isaiah Hodgins","WR","SF","-","-","-","-","0","0.5","-","-","BYE","0.7","-","-","-","-","-","-","-","-","0.4","1.2"
"198","Javon Baker","WR","NE","-","0","-","-","-","-","-","0","0","0","0","0","0","BYE","-","0","0","1.2","0.1","1.2"
"200","Trent Taylor","WR","SF","-","-","-","-","0","-","-","-","BYE","-","-","-","-","-","-","-","-","1.1","0.6","1.1"
"200","Grant DuBose","WR","FA","0","1.3","-","-","-","-","-","-","-","-","-","-","-","-","-0.2","-","-","-","0.4","1.1"
"200","Kameron Johnson","WR","TB","0","-","-","0","0","0","-","-","-","-","BYE","-","-","-","-","-","1.1","-","0.2","1.1"
"203","Brandon Johnson","WR","PIT","-","-","-","-","0.9","-","0","0","BYE","-","-","-","-","-","-","-","-","-","0.3","0.9"
